Date,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume
1/3/2000,2000,January,Monday,22.79,23,21.83,22.27,14.47,"25,109,700"
1/4/2000,2000,January,Tuesday,21.83,21.94,21.4,21.44,13.93,"20,235,300"
1/5/2000,2000,January,Wednesday,21.29,21.46,20.73,21,13.64,"21,056,100"
1/6/2000,2000,January,Thursday,21,21.52,20.9,21.23,13.79,"19,633,500"
1/7/2000,2000,January,Friday,21.5,22.98,21.5,22.83,14.83,"23,930,700"
1/10/2000,2000,January,Monday,22.42,22.5,21.88,22.42,14.56,"20,142,900"
1/11/2000,2000,January,Tuesday,22.35,22.58,21.88,22.08,14.35,"14,829,900"
1/12/2000,2000,January,Wednesday,22.06,22.25,21.69,21.69,14.09,"12,255,000"
1/13/2000,2000,January,Thursday,22,22.04,21.67,21.71,14.1,"15,063,000"
1/14/2000,2000,January,Friday,21.33,21.98,21.33,21.5,13.97,"18,936,600"
1/18/2000,2000,January,Tuesday,21.06,22.15,21.02,21.85,14.2,"19,326,600"
1/19/2000,2000,January,Wednesday,21.75,21.94,21.33,21.35,13.87,"14,459,700"
1/20/2000,2000,January,Thursday,21.48,21.5,20.83,21.13,13.72,"17,214,300"
1/21/2000,2000,January,Friday,21.31,21.31,20.69,20.81,13.52,"20,857,500"
1/24/2000,2000,January,Monday,21.15,21.15,19.17,19.79,12.86,"23,399,700"
1/25/2000,2000,January,Tuesday,19.94,20.4,19.83,20.38,13.24,"19,211,400"
1/26/2000,2000,January,Wednesday,20.38,20.69,20,20.65,13.41,"13,615,200"
1/27/2000,2000,January,Thursday,20.44,20.5,19.29,19.71,12.8,"21,969,900"
1/28/2000,2000,January,Friday,19.63,19.63,17.83,18.38,11.94,"42,088,200"
1/31/2000,2000,January,Monday,18.19,18.5,18.04,18.25,11.86,"23,918,100"
2/1/2000,2000,February,Tuesday,18.33,19.83,18.31,19.56,12.71,"25,077,000"
2/2/2000,2000,February,Wednesday,19.63,20.04,19.31,19.46,12.64,"18,103,800"
2/3/2000,2000,February,Thursday,19.46,19.6,18.75,19.46,12.64,"20,997,000"
2/4/2000,2000,February,Friday,19.31,19.31,18.67,18.77,12.2,"19,649,100"
2/7/2000,2000,February,Monday,18.88,18.88,18.21,18.58,12.07,"18,131,100"
2/8/2000,2000,February,Tuesday,19.1,19.9,18.96,19.83,12.89,"25,728,300"
2/9/2000,2000,February,Wednesday,20,20.04,19.1,19.27,12.52,"24,649,800"
2/10/2000,2000,February,Thursday,19.21,19.46,18.94,19,12.34,"13,774,800"
2/11/2000,2000,February,Friday,19.15,19.17,18.54,18.69,12.14,"14,450,100"
2/14/2000,2000,February,Monday,18.9,19.63,18.83,19.63,12.75,"17,410,800"
2/15/2000,2000,February,Tuesday,18.98,19.33,18.33,19.33,12.56,"29,136,300"
2/16/2000,2000,February,Wednesday,18.83,18.83,17.56,17.58,11.42,"40,757,400"
2/17/2000,2000,February,Thursday,17.65,17.83,16,16.13,10.48,"74,300,100"
2/18/2000,2000,February,Friday,16.17,16.5,15.75,15.92,10.34,"58,183,200"
2/22/2000,2000,February,Tuesday,16.42,16.44,15.58,16.04,10.42,"37,027,800"
